Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;4;2;148;N;S;N;Piso;Indautxu;1780;Indautxu;40401
Bilbao;1;2;75;N;S;N;Piso;Abando - Albia;1200;Abando;40300
Bilbao;2;1;61;N;N;N;Piso;Ibaiondo;750;Ibaiondo;30491
Bilbao;1;1;50;N;S;N;Apartamento;Basurtu - Zorrotza;760;Basurtu;29709
Bilbao;2;1;65;N;S;N;Piso;" Gordoniz ; 28; Errekalde";990;Errekalde;21172
Bilbao;3;1;80;N;S;N;Piso;"Calle Santutxu; 22; Begoña - Santutxu";850;Santutxu;18165
Bilbao;1;1;55;N;S;N;�tico;"Avenida Sabino Arana; Indautxu";820;Indautxu;40401
Bilbao;3;2;120;N;S;N;Piso;Errekalde;1100;Errekalde;21172
Bilbao;2;2;94;S;S;N;Piso;"Muelle Sirgueras; Basurtu - Zorrotza";1400;Basurtu;29709
Bilbao;2;1;50;N;S;N;Piso;"Camino de la Ventosa; Basurtu - Zorrotza";1550;Basurtu;29709
Bilbao;3;2;85;N;S;N;Piso;Basurtu - Zorrotza;1100;Basurtu;29709
Bilbao;1;1;50;N;S;N;Piso;Basurtu - Zorrotza;760;Basurtu;29709
Bilbao;2;2;90;S;N;N;Piso;"Avenida Zumalacárregui; Begoña - Santutxu";1800;Santutxu;18165
Bilbao;3;2;102;S;S;N;Piso;"Calle Karmelo; Begoña - Santutxu";902;Santutxu;18165
Bilbao;1;1;50;N;S;N;Piso;"Alameda de Mazarredo; Abando - Albia";850;Abando;40300
Bilbao;2;2;65;S;S;N;Piso;"Calle Gordóniz; Errekalde";990;Errekalde;21172
Bilbao;2;1;65;S;S;N;Piso;"Calle Gordóniz; Errekalde";990;Errekalde;21172
Bilbao;2;1;65;N;S;N;Piso;"Calle Quintana; Ibaiondo";850;Ibaiondo;30491
Bilbao;2;2;70;N;S;N;Piso;"Alameda Gregorio de la Revilla; Indautxu";1000;Indautxu;40401
Bilbao;1;1;72;S;S;N;�tico;"Alameda Gregorio de la Revilla; Indautxu";1120;Indautxu;40401
Bilbao;2;1;65;S;S;N;Piso;Errekalde;990;Errekalde;21172
Bilbao;2;1;60;N;S;N;Piso;Abando - Albia;1050;Abando;40300
Bilbao;2;1;80;N;S;N;Piso;Abando - Albia;1100;Abando;40300
Bilbao;4;2;148;S;S;N;Piso;"Calle Rodríguez Arias; Indautxu";1500;Indautxu;40401
Bilbao;2;2;85;N;S;S;Piso;"Ribera de Botica Vieja; Deusto";1000;Deusto;28537
Bilbao;2;2;105;N;S;N;Piso;"Calle Hernani; Ibaiondo";850;Ibaiondo;30491
Bilbao;2;2;74;N;S;N;Piso;"Calle Lezeaga; Basurtu - Zorrotza";790;Basurtu;29709
Bilbao;3;1;85;S;S;N;Piso;"Calle Uribarri; Uribarri";950;Uribarri;18654
Bilbao;3;2;140;N;S;N;Piso;"Calle Autonomía; Indautxu";1200;Indautxu;40401
Bilbao;2;1;55;N;S;N;Piso;"Calle Autonomía; Errekalde";850;Errekalde;21172
Bilbao;2;2;70;N;S;N;Piso;"Calle Ibarrekolanda; Deusto";1050;Deusto;28537
Bilbao;1;1;50;N;S;N;Apartamento;"Avenida Sabino Arana; Basurtu - Zorrotza";790;Basurtu;29709
Bilbao;2;1;60;N;S;N;Piso;"Calle Camilo Villabaso; 32; Errekalde";990;Errekalde;21172
Bilbao;2;2;90;N;S;N;Piso;Uribarri;1250;Uribarri;18654
